,commenter,comments,publishedAt,totalReplyCount
2512,Kyla Montinola,❤❤❤,2023-10-19T00:32:56Z,0
2513,souzpx,HOLY SHIT,2023-10-19T00:32:56Z,0
2514,🐾Vale Sparkly Notes🐾,I LOVE YOU TAYLORRRRR 💕✨️,2023-10-19T00:32:55Z,0
2515,Cathirine Duria,I super duper love it! ❤❤❤❤❤,2023-10-19T00:32:55Z,0
2516,Adista N.A,I was shocked,2023-10-19T00:32:55Z,0
2517,Giana Salinas,2 mins and almost 1000 comments already. We love you Taylor! 💜,2023-10-19T00:32:55Z,0
2518,Danilo Casagrande,Cruel Summer going right to the #1 as it should!!!!!!!!!!!!!,2023-10-19T00:32:55Z,0
2519,Carlos Morales,Taylor's world ❤,2023-10-19T00:32:55Z,0
2520,Gabriela Elizabeth Molina Orellana,Whaat?,2023-10-19T00:32:55Z,0
2521,Two Number,Wthhh?????,2023-10-19T00:32:55Z,0
2522,PoisonBerry,"You are my star, I Love every single song you make🌟",2023-10-19T00:32:54Z,0
2523,Ever Martinez,I LOVE YOU,2023-10-19T00:32:54Z,0
2524,Evie Knight,Slayyyyyyy gurl your so perfect you deserve EVERYTHING love you so much 🥹,2023-10-19T00:32:54Z,0
2525,Claire and char club,Love you Taylor,2023-10-19T00:32:54Z,0
2526,Julián zuñiga,WHATTTTTT,2023-10-19T00:32:54Z,0
2527,Camilaortizf,TAYLOR TE AMOO,2023-10-19T00:32:54Z,0
2528,Hardytier,471st,2023-10-19T00:32:54Z,0
2529,fun with Arts,"Who else LOVES TAYLOR SWIFT!🤍

👇",2023-10-19T00:32:54Z,0
2530,Samad Fowler,👏🏾👏🏾👏🏾,2023-10-19T00:32:53Z,0
2531,Makenna,MOTHER IS MOTHERING,2023-10-19T00:32:53Z,0
2532,David Tavares de Sousa,"cadê o clipe, meu anjo???? o queremos remix kk",2023-10-19T00:32:54Z,0
2533,Jean Kirsctein,OMGG YESSS,2023-10-19T00:32:53Z,0
2534,Haylee,Amazing,2023-10-19T00:32:59Z,0
2535,kelly,Omg I have never been this earlyy,2023-10-19T00:32:53Z,0
2536,helo albuquerque,socorro,2023-10-19T00:32:53Z,0
2537,Baylee F,OMG,2023-10-19T00:32:53Z,0
2538,Alex Morais Ferreira,She wants that #1 guys let's get it for her,2023-10-19T00:32:53Z,0
2539,evie rose asmr 🩵,TAYLOR HIIIII 🫶🫶🫶,2023-10-19T00:32:53Z,0
2540,Melany Guzman,SHUT UGGGHGGGPPP,2023-10-19T00:32:52Z,0
2541,Kati Willard,❤❤❤,2023-10-19T00:32:52Z,0
2542,Cats 4 Ever,I LOVE IT 😊,2023-10-19T00:32:52Z,0
2543,mimi marwa,Free Palestine 🇵🇸 🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸,2023-10-19T00:32:52Z,0
2544,Emilio Uzcategui,TE AMO REINA,2023-10-19T00:32:52Z,0
2545,amelia,love surprise drops by mother❤️,2023-10-19T00:32:52Z,0
2546,Just Music,Stoooop❤❤❤❤❤❤,2023-10-19T00:32:52Z,0
2547,Hummus Ofc,EXCUSE ME,2023-10-19T00:32:52Z,0
2548,what,Pretty sky,2023-10-19T00:32:52Z,0
2549,Laura Villalba Aguadé,Ok Tay Tay!,2023-10-19T00:32:51Z,0
2550,Lilypopv,love u💗🫶,2023-10-19T00:32:51Z,0
2551,Maria Clara,what,2023-10-19T00:32:51Z,0
2552,lobster,LOVE THIS TAY <3333,2023-10-19T00:32:51Z,0
2553,fan de todo,LOVE IT,2023-10-19T00:32:51Z,0
2554,TEAM LABUNOS VLOG,Iloveyou I'm from Philippines supports for you ❤😊,2023-10-19T00:32:51Z,0
2555,Kate Valenzuela,"Love you, Taylor❤",2023-10-19T00:32:51Z,0
2556,𝗢𝗹𝗶𝘃𝗶𝗮𝘀𝗯𝗶𝗯𝗹𝗲𝗯𝗼𝗰𝗮,AHHHH,2023-10-19T00:32:51Z,0
2557,anifvx,YESS,2023-10-19T00:32:51Z,0
2558,Rosa,LMAO i got a travis kelce commercial,2023-10-19T00:32:50Z,0
2559,Apoorv Sharma,Loved the mellow vibe ❤,2023-10-19T00:32:50Z,0
2560,Diego Garcia,MEXICO LOVES YOUU,2023-10-19T00:32:50Z,0
2561,Mariana Castrejon,I love this💗,2023-10-19T00:32:50Z,0
2562,myles ridge,Hi Taylor I love you soo much,2023-10-19T00:32:50Z,0
2563,Amaya Mackend,LETS GOOOO GET CRUEL SUMMER TO NUMBER ONE,2023-10-19T00:32:49Z,0
2564,sakura,This was posted a minute ago and already has over 1k likes what- 😭,2023-10-19T00:32:49Z,0
2565,ihateheartburn10,i’m sorry taylor but…,2023-10-19T00:32:49Z,0
2566,Dancingpig,Loveeeee,2023-10-19T00:32:49Z,0
2567,Avery 🦆,TAYLOR I LOVE U SM,2023-10-19T00:32:49Z,0
2568,Elisa Alves,WHAT,2023-10-19T00:32:49Z,0
2569,vivi,OKKKKK LOVE ITTT,2023-10-19T00:32:49Z,0
2570,Kristel May Monge,First time to be this early. 😢❤,2023-10-19T00:32:49Z,0
2571,Pedro Urbano,Sua safa vai gravar um clipe ao invés de fazer remix,2023-10-19T00:32:48Z,0
2572,jejej jejdjrj,We love iiitt 🫶🏼🫶🏼,2023-10-19T00:32:48Z,0
2573,virgosgroove,OMG,2023-10-19T00:32:48Z,0
2574,Becauseican,Omggggg ❤,2023-10-19T00:32:48Z,0
2575,fairy_fav211,"EARLY QUEEN
HERE IS YOUR CROWN: 👑",2023-10-19T00:32:48Z,0
2576,Aleyna,Klip çek artık bu şarkıya be kadın,2023-10-19T00:32:48Z,0
2577,nina rose,MOTHER IS MOTHERING RN,2023-10-19T00:32:48Z,0
2578,Miguel,GETTING THAT #1,2023-10-19T00:32:48Z,0
2579,guh♡³⁶⁹,TAYLOR GIVE US A MUSIC VIDEO 😭😭💔,2023-10-19T00:32:48Z,0
2580,Haylee vlogz,HII,2023-10-19T00:32:47Z,0
2581,Brownson,LITERALLY SO ICONIC❤,2023-10-19T00:32:47Z,0
2582,ana,CADE O CLIPE DONA TAYLOR,2023-10-19T00:32:47Z,0
2583,★caballo argentino★,Dios como amo a esta mujerrr❤❤❤,2023-10-19T00:32:47Z,0
